states,latitude,longitude,price
AK,61.18248736434112,-148.9983414470258,18314.842377260982
AL,32.9613266247887,-87.02948730369812,13989.073326890553
AR,35.836677657631384,-93.42399452324167,170723.84721247017
AZ,33.36202087058587,-111.67771718878159,12860.150299190425
CA,36.31147979072015,-119.21353378692874,40877.11501853904
CO,39.41051247709398,-104.72798791330744,45583.07051230978
CT,41.52085004925973,-73.0677937471387,12934.142900716792
DC,38.7764443312967,-77.33367484725089,9806.5811269518
DE,39.64304477077369,-75.35581038681931,11601.38681948424
FL,28.57873726964631,-82.22209538126087,44037.6117881549
GA,33.28986268486876,-83.7903545022752,365523.9519340159
HI,21.231614897202565,-157.09462042466942,14628.565891472868
IA,41.81211595117974,-94.02809029904763,12852.17807602234
ID,45.62889121426624,-116.42787343061651,16141.870305807352
IL,40.26560432451167,-89.31267431232183,11530.853151114206
IN,40.09580152709978,-86.03584886722093,29268.243045597934
KS,38.22779273206181,-95.48707684376528,14389.494773020191
KY,37.92168553779799,-85.08301007939414,12566.35916465309
LA,30.75284190301932,-91.28397122598415,10796.855215004574
MA,42.17521020213791,-71.72342725156311,11400.286697004974
MD,38.97607751697333,-76.98250197866244,702228.7179437439
ME,43.46903124350587,-70.75493366816808,11654.923796328369
MI,42.93567386133684,-84.50695149307747,59374.168000766906
MN,45.49682762054981,-94.01802613427891,12458.358494404883
MO,37.83185572238896,-93.06681102984885,12839.59432835821
MS,32.564491427997005,-88.82352779565652,15162.880128720837
MT,46.906280373115145,-113.71057675351074,20077.00779453105
NC,35.473962583698345,-80.00001386528126,11119.960075286603
ND,44.85032858895729,-99.55382012269949,17715.111656441717
NE,40.92399935238149,-97.14066655238304,1387209.4883809523
NH,42.97128546831973,-71.4487756887058,12012.500688705235
NJ,40.32411245980296,-74.59648553333413,139693.68029411766
NM,35.06323567489751,-106.04847365619909,44446.46751378566
NV,36.11814229756477,-115.13251030283107,14253.067149440421
NY,42.13095260315198,-75.4541346976044,17851.716276527917
OH,40.48930315392937,-82.81926539044943,11177.664051467127
OK,35.54450457597997,-96.7165571607069,12854.224738403873
OR,44.596546186393496,-122.56258633162957,13058.513269250861
PA,40.4445074952703,-77.11427104937249,10503.189069327595
RI,41.86565504587148,-71.51957210329552,12032.278627251104
SC,34.11671542956484,-81.06816616933914,13378.604998135024
SD,43.73234399141622,-98.4059344635203,15081.104721030042
TN,35.532829934836066,-86.14492069957022,213260.55846004045
TX,30.799417240646353,-98.64366997121459,47868.44765034055
UT,38.07044149390231,-111.65928603658557,20233.20914634146
VA,37.57453199518472,-77.93470781301711,107475.94345732316
VT,43.812028940929366,-72.87938755679781,57160.113247116395
WA,47.314186566010264,-120.62384613434207,16777.568395922055
WI,43.570030247621844,-88.95175507793154,14858.720599149856
WV,38.94222981795358,-80.32105543000606,8189.786566227244
WY,41.311494869402985,-105.52919039179184,17346.774253731342
