,Train Score,Validation Score
SVR,0.8431655391094006,0.7722479915661788
XGBRegressor,0.8745922785957965,0.7399323208725557
LGBMRegressor,0.8865488614504708,0.7356964621567704
RandomForestRegressor,0.9610188137690034,0.7290017640137461
KNeighborsRegressor,0.5966451884875088,0.6199191475572847
LinearRegression,0.6091394398619793,0.6062797915285016
